Sample in Buffer,Sample in Window,TRIGGER,sample_data[7:0],wr_en,wr_addr[10:0],wr_data[7:0],capturing,triggered,capture_done,trigger_index[10:0],trigger_enable_state,trigger_mode_sel[1:0],config_channel_idx[2:0],btn_trigger_pulse,btn_channel_pulse,btn_type_pulse,btn_mode_pulse,curr_trig_cfg_ext[7:0],p_0_in,sw_test_pattern_IBUF[1:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,BINARY,HEX,HEX,BINARY,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,BINARY,HEX,HEX
99,99,0,01011100,0,000,00001100,0,0,0,000,0,0,3,0,0,0,0,00000101,1,0
100,100,0,01011101,0,000,00001100,0,0,0,000,0,0,3,0,0,0,0,00000101,1,0
101,101,0,01011110,0,000,00001100,0,0,0,000,0,0,3,0,0,0,0,00000101,1,0
102,102,0,01011111,0,000,00001100,0,0,0,000,0,0,3,0,0,0,0,00000101,1,0
103,103,0,01100000,0,000,00001100,0,0,0,000,0,0,3,0,0,0,0,00000101,1,0
104,104,0,01100001,0,000,00001100,0,0,0,000,0,0,3,0,0,0,0,00000101,1,0
105,105,0,01100010,0,000,00001100,0,0,0,000,0,0,3,0,0,0,0,00000101,1,0
106,106,0,01100011,0,000,00001100,0,0,0,000,0,0,3,0,0,0,0,00000101,1,0
107,107,0,01100100,0,000,00001100,0,0,0,000,0,0,3,0,0,0,0,00000101,1,0
108,108,0,01100101,0,000,00001100,0,0,0,000,0,0,3,0,0,0,0,00000101,1,0
109,109,0,01100110,0,000,00001100,0,0,0,000,0,0,3,0,0,0,0,00000101,1,0
110,110,0,01100111,0,000,00001100,0,0,0,000,0,0,3,0,0,0,0,00000101,1,0
111,111,0,01101000,0,000,00001100,0,0,0,000,0,0,3,0,0,0,0,00000101,1,0
112,112,0,01101001,0,000,00001100,0,0,0,000,0,0,3,0,0,0,0,00000101,1,0
113,113,0,01101010,0,000,00001100,0,0,0,000,0,0,3,0,0,0,0,00000101,1,0
114,114,0,01101011,0,000,00001100,0,0,0,000,0,0,3,0,0,0,0,00000101,1,0
115,115,0,01101100,0,000,00001100,0,0,0,000,0,0,3,0,0,0,0,00000101,1,0
116,116,0,01101101,0,000,00001100,0,0,0,000,0,0,3,0,0,0,0,00000101,1,0
117,117,0,01101110,0,000,00001100,0,0,0,000,0,0,3,0,0,0,0,00000101,1,0
118,118,0,01101111,0,000,00001100,0,0,0,000,0,0,3,0,0,0,0,00000101,1,0
119,119,0,01110000,0,000,00001100,0,0,0,000,0,0,3,0,0,0,0,00000101,1,0
120,120,0,01110001,0,000,00001100,0,0,0,000,0,0,3,0,0,0,0,00000101,1,0
121,121,0,01110010,0,000,00001100,0,0,0,000,0,0,3,0,0,0,0,00000101,1,0
122,122,0,01110011,0,000,00001100,0,0,0,000,0,0,3,0,0,0,0,00000101,1,0
123,123,0,01110100,0,000,00001100,0,0,0,000,0,0,3,0,0,0,0,00000101,1,0
124,124,0,01110101,0,000,00001100,0,0,0,000,0,0,3,0,0,0,0,00000101,1,0
125,125,0,01110110,0,000,00001100,0,0,0,000,0,0,3,0,0,0,0,00000101,1,0
126,126,0,01110111,0,000,00001100,0,0,0,000,0,0,3,0,0,0,0,00000101,1,0
127,127,0,01111000,0,000,00001100,0,0,0,000,0,0,3,0,0,0,0,00000101,1,0
128,128,0,01111001,0,000,00001100,0,0,0,000,0,0,3,0,0,0,0,00000101,1,0
129,129,0,01111010,0,000,00001100,0,0,0,000,0,0,3,0,0,0,0,00000101,1,0
130,130,0,01111011,0,000,00001100,0,0,0,000,0,0,3,0,0,0,0,00000101,1,0
131,131,0,01111100,0,000,00001100,0,0,0,000,0,0,3,0,0,0,0,00000101,1,0
132,132,0,01111101,0,000,00001100,0,0,0,000,0,0,3,0,0,0,0,00000101,1,0
133,133,0,01111110,0,000,00001100,0,0,0,000,0,0,3,0,0,0,0,00000101,1,0
134,134,0,01111111,0,000,00001100,0,0,0,000,0,0,3,0,0,0,0,00000101,1,0
135,135,0,10000000,0,000,00001100,0,0,0,000,0,0,3,0,0,0,0,00000101,1,0
136,136,0,10000001,0,000,00001100,0,0,0,000,0,0,3,0,0,0,0,00000101,1,0
137,137,0,10000010,0,000,00001100,0,0,0,000,0,0,3,0,0,0,0,00000101,1,0
138,138,0,10000011,0,000,00001100,0,0,0,000,0,0,3,0,0,0,0,00000101,1,0
139,139,0,10000100,0,000,00001100,0,0,0,000,0,0,3,0,0,0,0,00000101,1,0
140,140,0,10000101,0,000,00001100,0,0,0,000,0,0,3,0,0,0,0,00000101,1,0
141,141,0,10000110,0,000,00001100,0,0,0,000,0,0,3,0,0,0,0,00000101,1,0
142,142,0,10000111,0,000,00001100,0,0,0,000,0,0,3,0,0,0,0,00000101,1,0
143,143,0,10001000,0,000,00001100,0,0,0,000,0,0,3,0,0,0,0,00000101,1,0
144,144,0,10001001,0,000,00001100,0,0,0,000,0,0,3,0,0,0,0,00000101,1,0
145,145,0,10001010,0,000,00001100,0,0,0,000,0,0,3,0,0,0,0,00000101,1,0
146,146,0,10001011,0,000,00001100,0,0,0,000,0,0,3,0,0,0,0,00000101,1,0
147,147,0,10001100,0,000,00001100,0,0,0,000,0,0,3,0,0,0,0,00000101,1,0
148,148,0,10001101,0,000,00001100,0,0,0,000,0,0,3,0,0,0,0,00000101,1,0
149,149,0,10001110,0,000,00001100,0,0,0,000,0,0,3,0,0,0,0,00000101,1,0
150,150,0,10001111,0,000,00001100,0,0,0,000,0,0,3,0,0,0,0,00000101,1,0
151,151,0,10010000,0,000,00001100,0,0,0,000,0,0,3,0,0,0,0,00000101,1,0
152,152,0,10010001,0,000,00001100,0,0,0,000,0,0,3,0,0,0,0,00000101,1,0
153,153,0,10010010,0,000,00001100,0,0,0,000,0,0,3,0,0,0,0,00000101,1,0
154,154,0,10010011,0,000,00001100,0,0,0,000,0,0,3,0,0,0,0,00000101,1,0
155,155,0,10010100,0,000,00001100,0,0,0,000,0,0,3,0,0,0,0,00000101,1,0
156,156,0,10010101,0,000,00001100,0,0,0,000,0,0,3,0,0,0,0,00000101,1,0
157,157,0,10010110,0,000,00001100,0,0,0,000,0,0,3,0,0,0,0,00000101,1,0
158,158,0,10010111,0,000,00001100,0,0,0,000,0,0,3,0,0,0,0,00000101,1,0
159,159,0,10011000,0,000,00001100,0,0,0,000,0,0,3,0,0,0,0,00000101,1,0
160,160,0,10011001,0,000,00001100,0,0,0,000,0,0,3,0,0,0,0,00000101,1,0
161,161,0,10011010,0,000,00001100,0,0,0,000,0,0,3,0,0,0,0,00000101,1,0
162,162,0,10011011,0,000,00001100,0,0,0,000,0,0,3,0,0,0,0,00000101,1,0
163,163,0,10011100,0,000,00001100,0,0,0,000,0,0,3,0,0,0,0,00000101,1,0
164,164,0,10011101,0,000,00001100,0,0,0,000,0,0,3,0,0,0,0,00000101,1,0
165,165,0,10011110,0,000,00001100,0,0,0,000,0,0,3,0,0,0,0,00000101,1,0
166,166,0,10011111,0,000,00001100,0,0,0,000,0,0,3,0,0,0,0,00000101,1,0
167,167,0,10100000,0,000,00001100,0,0,0,000,0,0,3,0,0,0,0,00000101,1,0
168,168,0,10100001,0,000,00001100,0,0,0,000,0,0,3,0,0,0,0,00000101,1,0
169,169,0,10100010,0,000,00001100,0,0,0,000,0,0,3,0,0,0,0,00000101,1,0
170,170,0,10100011,0,000,00001100,0,0,0,000,0,0,3,0,0,0,0,00000101,1,0
171,171,0,10100100,0,000,00001100,0,0,0,000,0,0,3,0,0,0,0,00000101,1,0
172,172,0,10100101,0,000,00001100,0,0,0,000,0,0,3,0,0,0,0,00000101,1,0
173,173,0,10100110,0,000,00001100,0,0,0,000,0,0,3,0,0,0,0,00000101,1,0
174,174,0,10100111,0,000,00001100,0,0,0,000,0,0,3,0,0,0,0,00000101,1,0
175,175,0,10101000,0,000,00001100,0,0,0,000,0,0,3,0,0,0,0,00000101,1,0
176,176,0,10101001,0,000,00001100,0,0,0,000,0,0,3,0,0,0,0,00000101,1,0
177,177,0,10101010,0,000,00001100,0,0,0,000,0,0,3,0,0,0,0,00000101,1,0
178,178,0,10101011,0,000,00001100,0,0,0,000,0,0,3,0,0,0,0,00000101,1,0
